symbol	X468VTF.V19	X468VTF.V1	X468VTF.V5.2	X468VTF.V5	X474IDH.V3.2	X474IDH.V3	X474IDH.V9	wt1.lsk	wt2.lsk	wt3.lsk	wt4.lsk
Clca4c-ps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clcc1	4.3333	3.3333	31.0	17.0	45.3333	21.6667	15.3333	17.0	18.0	16.0	9.6667
Clcf1	46.0	14.0	323.0	118.0	137.0	63.0	79.0	139.0	120.0	190.0	225.0
Clcn1	5.0	1.0	7.0	6.0	5.0	5.0	1.0	1.0	6.0	5.0	4.0
Clcn2	43.0	24.0	180.0	38.0	119.0	10.0	59.0	85.0	73.0	133.0	113.0
Clcn3	2.5	0.75	2.75	0.75	1.25	1.0	1.5	1.75	1.75	1.75	4.0
Clcn4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clcn5	1.0	1.5	2.0	2.0	3.0	3.5	1.5	2.5	2.0	2.5	2.0
Clcn6	10.0	1.0	264.0	37.0	286.0	52.0	34.0	41.0	45.0	36.0	43.0
Clcn7	325.0	58.0	1241.0	582.0	1706.0	746.0	529.0	371.0	343.0	275.0	319.0
